threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.005,0.005,0.0,1.0,3,597,0,120
1.0,0.006667,0.006667,0.0,1.0,4,596,0,120
1.0,0.008333,0.008333,0.0,1.0,5,595,0,120
1.0,0.01,0.01,0.0,1.0,6,594,0,120
1.0,0.013333,0.013333,0.0,1.0,8,592,0,120
1.0,0.016667,0.016667,0.0,1.0,10,590,0,120
1.0,0.016667,0.016667,0.0,1.0,10,590,0,120
1.0,0.018333,0.018333,0.0,1.0,11,589,0,120
1.0,0.02,0.02,0.0,1.0,12,588,0,120
1.0,0.021667,0.021667,0.0,1.0,13,587,0,120
1.0,0.025,0.025,0.0,1.0,15,585,0,120
1.0,0.028333,0.028333,0.0,1.0,17,583,0,120
1.0,0.03,0.03,0.0,1.0,18,582,0,120
1.0,0.031667,0.031667,0.0,1.0,19,581,0,120
1.0,0.031667,0.031667,0.0,1.0,19,581,0,120
1.0,0.035,0.035,0.0,1.0,21,579,0,120
1.0,0.035,0.035,0.0,1.0,21,579,0,120
1.0,0.036667,0.036667,0.0,1.0,22,578,0,120
1.0,0.04,0.04,0.0,1.0,24,576,0,120
1.0,0.041667,0.041667,0.0,1.0,25,575,0,120
1.0,0.046667,0.046667,0.0,1.0,28,572,0,120
1.0,0.046667,0.046667,0.0,1.0,28,572,0,120
1.0,0.048333,0.048333,0.0,1.0,29,571,0,120
1.0,0.051667,0.051667,0.0,1.0,31,569,0,120
1.0,0.053333,0.053333,0.0,1.0,32,568,0,120
1.0,0.055,0.055,0.0,1.0,33,567,0,120
1.0,0.056667,0.056667,0.0,1.0,34,566,0,120
1.0,0.056667,0.056667,0.0,1.0,34,566,0,120
1.0,0.058333,0.058333,0.0,1.0,35,565,0,120
1.0,0.061667,0.061667,0.0,1.0,37,563,0,120
1.0,0.063333,0.063333,0.0,1.0,38,562,0,120
1.0,0.065,0.065,0.0,1.0,39,561,0,120
1.0,0.066667,0.066667,0.0,1.0,40,560,0,120
1.0,0.066667,0.066667,0.0,1.0,40,560,0,120
1.0,0.07,0.07,0.0,1.0,42,558,0,120
1.0,0.071667,0.071667,0.0,1.0,43,557,0,120
1.0,0.073333,0.073333,0.0,1.0,44,556,0,120
1.0,0.075,0.075,0.0,1.0,45,555,0,120
1.0,0.075,0.075,0.0,1.0,45,555,0,120
1.0,0.076667,0.076667,0.0,1.0,46,554,0,120
1.0,0.078333,0.078333,0.0,1.0,47,553,0,120
1.0,0.08,0.08,0.0,1.0,48,552,0,120
1.0,0.081667,0.081667,0.0,1.0,49,551,0,120
1.0,0.085,0.085,0.0,1.0,51,549,0,120
1.0,0.086667,0.086667,0.0,1.0,52,548,0,120
1.0,0.086667,0.086667,0.0,1.0,52,548,0,120
1.0,0.09,0.09,0.0,1.0,54,546,0,120
1.0,0.091667,0.091667,0.0,1.0,55,545,0,120
1.0,0.091667,0.091667,0.0,1.0,55,545,0,120
1.0,0.095,0.095,0.0,1.0,57,543,0,120
1.0,0.095,0.095,0.0,1.0,57,543,0,120
1.0,0.098333,0.098333,0.0,1.0,59,541,0,120
1.0,0.098333,0.098333,0.0,1.0,59,541,0,120
1.0,0.101667,0.101667,0.0,1.0,61,539,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.106667,0.106667,0.0,1.0,64,536,0,120
1.0,0.108333,0.108333,0.0,1.0,65,535,0,120
1.0,0.11,0.11,0.0,1.0,66,534,0,120
1.0,0.11,0.11,0.0,1.0,66,534,0,120
1.0,0.113333,0.113333,0.0,1.0,68,532,0,120
1.0,0.113333,0.113333,0.0,1.0,68,532,0,120
1.0,0.115,0.115,0.0,1.0,69,531,0,120
1.0,0.118333,0.118333,0.0,1.0,71,529,0,120
1.0,0.118333,0.118333,0.0,1.0,71,529,0,120
1.0,0.121667,0.121667,0.0,1.0,73,527,0,120
1.0,0.121667,0.121667,0.0,1.0,73,527,0,120
1.0,0.125,0.125,0.0,1.0,75,525,0,120
1.0,0.125,0.125,0.0,1.0,75,525,0,120
1.0,0.128333,0.128333,0.0,1.0,77,523,0,120
1.0,0.13,0.13,0.0,1.0,78,522,0,120
1.0,0.131667,0.131667,0.0,1.0,79,521,0,120
1.0,0.133333,0.133333,0.0,1.0,80,520,0,120
1.0,0.135,0.135,0.0,1.0,81,519,0,120
1.0,0.135,0.135,0.0,1.0,81,519,0,120
1.0,0.136667,0.136667,0.0,1.0,82,518,0,120
1.0,0.14,0.14,0.0,1.0,84,516,0,120
1.0,0.14,0.14,0.0,1.0,84,516,0,120
1.0,0.141667,0.141667,0.0,1.0,85,515,0,120
1.0,0.145,0.145,0.0,1.0,87,513,0,120
