epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch_001.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_001.pt,1,1,1.78772,0.16,0.27,0.488095,0.630952,0.930804,0.888889
2,epoch_002.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_002.pt,1,1,1.702695,0.08,0.12,0.321429,0.47619,0.904348,0.912698
3,epoch_003.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_003.pt,1,1,1.513928,0.13,0.16,0.238095,0.261905,0.870564,0.950397
4,epoch_004.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_004.pt,1,1,1.652934,0.12,0.15,0.309524,0.369048,0.886994,0.930556
5,epoch_005.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_005.pt,1,1,1.110871,0.27,0.3,0.369048,0.380952,0.889126,0.930556
6,epoch_006.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_006.pt,1,1,1.469736,0.08,0.1,0.154762,0.238095,0.866667,0.952381
7,epoch_007.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_007.pt,1,1,1.935012,0.13,0.21,0.25,0.369048,0.886994,0.930556
8,epoch_008.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_008.pt,1,1,1.662084,0.11,0.26,0.130952,0.345238,0.883227,0.934524
9,epoch_009.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_009.pt,1,1,1.484666,0.09,0.21,0.202381,0.380952,0.888889,0.928571
10,epoch_010.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_010.pt,1,1,1.342094,0.13,0.18,0.440476,0.47619,0.904348,0.912698
11,epoch_011.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_011.pt,1,1,1.676382,0.22,0.23,0.440476,0.452381,0.900648,0.918651
12,epoch_012.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_012.pt,1,1,1.352907,0.15,0.19,0.321429,0.404762,0.892704,0.924603
13,epoch_013.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_013.pt,1,1,1.476249,0.19,0.24,0.428571,0.452381,0.900648,0.918651
14,epoch_014.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_014.pt,1,1,1.434419,0.24,0.31,0.440476,0.511905,0.910284,0.906746
15,epoch_015.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_015.pt,1,1,1.763371,0.14,0.21,0.285714,0.392857,0.890792,0.926587
16,epoch_016.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_016.pt,1,1,1.425484,0.12,0.14,0.369048,0.428571,0.896552,0.920635
17,epoch_017.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_017.pt,1,1,1.550488,0.18,0.21,0.52381,0.547619,0.9163,0.900794
18,epoch_018.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_018.pt,1,1,1.467423,0.04,0.13,0.083333,0.357143,0.885106,0.93254
19,epoch_019.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_019.pt,1,1,1.303423,0.03,0.07,0.083333,0.25,0.868476,0.950397
20,epoch_020.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_020.pt,1,1,1.578377,0.06,0.19,0.095238,0.357143,0.885106,0.93254
21,epoch_021.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_021.pt,1,1,1.649956,0.3,0.41,0.440476,0.547619,0.9163,0.900794
22,epoch_022.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_022.pt,1,1,2.02776,0.17,0.17,0.345238,0.345238,0.883966,0.940476
23,epoch_023.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_023.pt,1,1,1.37465,0.14,0.19,0.369048,0.464286,0.902386,0.914683
24,epoch_024.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_024.pt,1,1,1.976195,0.23,0.31,0.369048,0.52381,0.912281,0.904762
25,epoch_025.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_025.pt,1,1,1.586984,0.24,0.33,0.309524,0.404762,0.892704,0.924603
26,epoch_026.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_026.pt,1,1,2.049864,0.25,0.28,0.333333,0.369048,0.886994,0.930556
27,epoch_027.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_027.pt,1,1,2.219173,0.31,0.35,0.428571,0.488095,0.906318,0.910714
28,epoch_028.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_028.pt,1,1,1.857573,0.26,0.29,0.392857,0.428571,0.896552,0.920635
29,epoch_029.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_029.pt,1,1,1.715305,0.1,0.13,0.357143,0.416667,0.89485,0.924603
30,epoch_030.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_030.pt,1,1,1.635485,0.11,0.17,0.238095,0.297619,0.875789,0.94246
31,epoch_031.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_031.pt,1,1,1.895303,0.21,0.25,0.380952,0.464286,0.902597,0.916667
32,epoch_032.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_032.pt,1,1,2.115413,0.18,0.18,0.357143,0.357143,0.886076,0.940476
33,epoch_033.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_033.pt,1,1,1.857839,0.2,0.29,0.416667,0.511905,0.91048,0.90873
34,epoch_034.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_034.pt,1,1,1.59513,0.08,0.11,0.238095,0.309524,0.877895,0.94246
35,epoch_035.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_035.pt,1,1,1.965473,0.25,0.27,0.452381,0.47619,0.904555,0.914683
36,epoch_036.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_036.pt,1,1,2.14021,0.11,0.24,0.27381,0.488095,0.906318,0.910714
37,epoch_037.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_037.pt,1,1,2.105684,0.15,0.29,0.309524,0.47619,0.904348,0.912698
38,epoch_038.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_038.pt,1,1,2.037048,0.11,0.19,0.166667,0.321429,0.879493,0.938492
39,epoch_039.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_039.pt,1,1,1.767659,0.18,0.22,0.392857,0.416667,0.894624,0.922619
40,epoch_040.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_040.pt,1,1,2.34794,0.18,0.22,0.297619,0.392857,0.890792,0.926587
41,epoch_041.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_041.pt,1,1,2.384776,0.33,0.37,0.488095,0.535714,0.914286,0.902778
42,epoch_042.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_042.pt,1,1,1.901166,0.13,0.19,0.297619,0.416667,0.894624,0.922619
43,epoch_043.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_043.pt,1,1,2.100017,0.29,0.34,0.559524,0.571429,0.920354,0.896825
44,epoch_044.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_044.pt,1,1,1.770165,0.17,0.23,0.452381,0.511905,0.910284,0.906746
45,epoch_045.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_045.pt,1,1,1.776831,0.18,0.26,0.404762,0.559524,0.918322,0.89881
46,epoch_046.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_046.pt,1,1,2.392055,0.21,0.27,0.321429,0.464286,0.902597,0.916667
47,epoch_047.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_047.pt,1,1,2.15709,0.13,0.22,0.345238,0.47619,0.904348,0.912698
48,epoch_048.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_048.pt,1,1,1.930568,0.08,0.12,0.261905,0.369048,0.886994,0.930556
49,epoch_049.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_049.pt,1,1,2.086649,0.16,0.21,0.345238,0.464286,0.902386,0.914683
50,epoch_050.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_050.pt,1,1,1.815928,0.19,0.2,0.488095,0.5,0.908297,0.90873
51,epoch_051.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_051.pt,1,1,2.387253,0.25,0.28,0.404762,0.464286,0.902386,0.914683
52,epoch_052.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_052.pt,1,1,2.070198,0.11,0.25,0.22619,0.511905,0.910284,0.906746
53,epoch_053.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_053.pt,1,1,2.474533,0.28,0.32,0.488095,0.52381,0.912281,0.904762
54,epoch_054.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_054.pt,1,1,2.339542,0.21,0.25,0.440476,0.464286,0.902386,0.914683
55,epoch_055.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_055.pt,1,1,2.198456,0.1,0.25,0.261905,0.404762,0.892704,0.924603
56,epoch_056.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_056.pt,1,1,2.219084,0.19,0.25,0.380952,0.416667,0.894624,0.922619
57,epoch_057.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_057.pt,1,1,2.297817,0.21,0.28,0.416667,0.47619,0.904348,0.912698
58,epoch_058.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_058.pt,1,1,2.375762,0.06,0.16,0.178571,0.369048,0.886994,0.930556
59,epoch_059.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_only_200ep\weights\epoch_059.pt,1,1,2.182466,0.11,0.19,0.25,0.428571,0.896552,0.920635
