threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.75,389,31,15,69,0.92619,0.962871,0.821429,0.178571,0.07381,0.69,0.90873,0.944175,0.801587,69,15,389,31
0.76,388,32,14,70,0.92381,0.965174,0.833333,0.166667,0.07619,0.686275,0.90873,0.944039,0.797619,70,14,388,32
0.77,387,33,14,70,0.921429,0.965087,0.833333,0.166667,0.078571,0.679612,0.906746,0.942753,0.795635,70,14,387,33
0.78,385,35,13,71,0.916667,0.967337,0.845238,0.154762,0.083333,0.669811,0.904762,0.94132,0.789683,71,13,385,35
0.79,383,37,13,71,0.911905,0.967172,0.845238,0.154762,0.088095,0.657407,0.900794,0.938725,0.785714,71,13,383,37
0.8,381,39,12,72,0.907143,0.969466,0.857143,0.142857,0.092857,0.648649,0.89881,0.937269,0.779762,72,12,381,39
0.81,378,42,12,72,0.9,0.969231,0.857143,0.142857,0.1,0.631579,0.892857,0.933333,0.77381,72,12,378,42
0.82,375,45,11,73,0.892857,0.971503,0.869048,0.130952,0.107143,0.618644,0.888889,0.930521,0.765873,73,11,375,45
0.83,368,52,10,74,0.87619,0.973545,0.880952,0.119048,0.12381,0.587302,0.876984,0.922306,0.75,74,10,368,52
0.84,367,53,10,74,0.87381,0.973475,0.880952,0.119048,0.12619,0.582677,0.875,0.920954,0.748016,74,10,367,53
0.85,363,57,10,74,0.864286,0.97319,0.880952,0.119048,0.135714,0.564885,0.867063,0.915511,0.740079,74,10,363,57
0.86,358,62,10,74,0.852381,0.972826,0.880952,0.119048,0.147619,0.544118,0.857143,0.908629,0.730159,74,10,358,62
0.87,356,64,10,74,0.847619,0.972678,0.880952,0.119048,0.152381,0.536232,0.853175,0.905852,0.72619,74,10,356,64
0.88,350,70,9,75,0.833333,0.97493,0.892857,0.107143,0.166667,0.517241,0.843254,0.898588,0.712302,75,9,350,70
0.89,347,73,8,76,0.82619,0.977465,0.904762,0.095238,0.17381,0.510067,0.839286,0.895484,0.704365,76,8,347,73
0.9,341,79,8,76,0.811905,0.977077,0.904762,0.095238,0.188095,0.490323,0.827381,0.886866,0.69246,76,8,341,79
0.91,333,87,7,77,0.792857,0.979412,0.916667,0.083333,0.207143,0.469512,0.813492,0.876316,0.674603,77,7,333,87
0.92,326,94,7,77,0.77619,0.978979,0.916667,0.083333,0.22381,0.450292,0.799603,0.86587,0.660714,77,7,326,94
0.93,317,103,7,77,0.754762,0.978395,0.916667,0.083333,0.245238,0.427778,0.781746,0.852151,0.642857,77,7,317,103
0.94,306,114,7,77,0.728571,0.977636,0.916667,0.083333,0.271429,0.403141,0.759921,0.834925,0.621032,77,7,306,114
0.95,297,123,6,78,0.707143,0.980198,0.928571,0.071429,0.292857,0.38806,0.744048,0.821577,0.60119,78,6,297,123
0.96,284,136,4,80,0.67619,0.986111,0.952381,0.047619,0.32381,0.37037,0.722222,0.80226,0.571429,80,4,284,136
0.97,266,154,4,80,0.633333,0.985185,0.952381,0.047619,0.366667,0.34188,0.686508,0.771014,0.535714,80,4,266,154
0.98,231,189,3,81,0.55,0.987179,0.964286,0.035714,0.45,0.3,0.619048,0.706422,0.464286,81,3,231,189
0.99,176,244,1,83,0.419048,0.99435,0.988095,0.011905,0.580952,0.253823,0.513889,0.589615,0.35119,83,1,176,244
